routingAlgorithm,bufferSize,dropPolicy,forwardingStrategy,bufferSize_numeric,dropPolicy_numeric,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,rtt_avg,rtt_med
ProphetMulti,100M,FIFO,GRTRMax,100,FIFO,100000.0,3356.0,116993.0,116939.0,53.0,101667.0,0.0,2559.0,0.7625,0.0,44.6971,10323.0516,8330.0,2.2102,2.0,11676.8204,10828.0,,
ProphetMulti,100M,LEPR,GRTRMax,100,LEPR,100000.0,3356.0,126417.0,126360.0,56.0,111764.0,0.0,1850.0,0.5513,0.0,67.3027,8561.2773,7105.0,2.207,2.0,9571.5034,4647.0,,
ProphetMulti,100M,MOFO,GRTRMax,100,MOFO,100000.0,3356.0,131080.0,131023.0,56.0,117717.0,0.0,1304.0,0.3886,0.0,99.4778,9080.5399,7221.0,2.0307,2.0,4104.6619,0.0,,
ProphetMulti,100M,MOPR,GRTRMax,100,MOPR,100000.0,3356.0,126921.0,126865.0,55.0,112181.0,0.0,1803.0,0.5372,0.0,69.3633,10955.386,8293.0,1.8758,2.0,5998.5381,0.0,,
ProphetMulti,100M,SHLI,GRTRMax,100,SHLI,100000.0,3356.0,125181.0,125127.0,53.0,109371.0,0.0,2715.0,0.809,0.0,45.0873,12837.8339,9996.0,1.7775,2.0,9032.2527,0.0,,
ProphetMulti,10M,FIFO,GRTRMax,10,FIFO,100000.0,3356.0,57532.0,57524.0,8.0,57830.0,0.0,1410.0,0.4201,0.0,39.7972,7689.6064,5584.0,3.0645,3.0,2418.6251,1621.0,,
ProphetMulti,10M,LEPR,GRTRMax,10,LEPR,100000.0,3356.0,106069.0,106022.0,46.0,106979.0,0.0,797.0,0.2375,0.0,132.0263,7417.1694,5670.0,2.202,2.0,1215.5582,0.0,,
ProphetMulti,10M,MOFO,GRTRMax,10,MOFO,100000.0,3356.0,95197.0,95158.0,39.0,96429.0,0.0,445.0,0.1326,0.0,212.8382,6691.0045,5730.0,2.0135,2.0,1138.9045,0.0,,
ProphetMulti,10M,MOPR,GRTRMax,10,MOPR,100000.0,3356.0,112228.0,112178.0,50.0,113513.0,0.0,421.0,0.1254,0.0,265.4561,7266.0998,5736.0,1.8622,2.0,719.1003,0.0,,
ProphetMulti,10M,SHLI,GRTRMax,10,SHLI,100000.0,3356.0,137776.0,137716.0,59.0,137384.0,0.0,2049.0,0.6105,0.0,66.2113,7513.1967,7149.0,1.7833,2.0,1028.6084,0.0,,
ProphetMulti,110M,FIFO,GRTRMax,110,FIFO,100000.0,3356.0,117935.0,117878.0,56.0,100942.0,0.0,2594.0,0.7729,0.0,44.4426,10296.9518,8376.0,2.1754,2.0,12736.9899,11755.0,,
ProphetMulti,110M,LEPR,GRTRMax,110,LEPR,100000.0,3356.0,126212.0,126155.0,56.0,109874.0,0.0,1931.0,0.5754,0.0,64.3314,8787.3304,7348.0,2.2066,2.0,10397.1117,5459.0,,
ProphetMulti,110M,MOFO,GRTRMax,110,MOFO,100000.0,3356.0,130595.0,130537.0,57.0,115488.0,0.0,1406.0,0.419,0.0,91.8428,9205.1764,7400.0,2.0242,2.0,4529.1962,0.0,,
ProphetMulti,110M,MOPR,GRTRMax,110,MOPR,100000.0,3356.0,126299.0,126242.0,56.0,109832.0,0.0,1890.0,0.5632,0.0,65.7947,10861.2127,8314.0,1.9164,2.0,6447.7536,0.0,,
ProphetMulti,110M,SHLI,GRTRMax,110,SHLI,100000.0,3356.0,124974.0,124919.0,54.0,107532.0,0.0,2708.0,0.8069,0.0,45.1296,12522.4007,9707.0,1.8002,2.0,9717.5762,0.0,,
ProphetMulti,120M,FIFO,GRTRMax,120,FIFO,100000.0,3356.0,118125.0,118069.0,55.0,99483.0,0.0,2620.0,0.7807,0.0,44.0645,10095.2439,8289.0,2.1321,2.0,13850.8492,12940.0,,
ProphetMulti,120M,LEPR,GRTRMax,120,LEPR,100000.0,3356.0,124887.0,124831.0,55.0,106878.0,0.0,1983.0,0.5909,0.0,61.9506,8724.9339,7157.0,2.2168,2.0,11324.4325,6374.0,,
ProphetMulti,120M,MOFO,GRTRMax,120,MOFO,100000.0,3356.0,128578.0,128521.0,56.0,111736.0,0.0,1503.0,0.4479,0.0,84.5096,9421.2701,7569.0,2.0266,2.0,4895.1519,0.0,,
