routingAlgorithm,bufferSize,dropPolicy,forwardingStrategy,bufferSize_numeric,dropPolicy_numeric,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,rtt_avg,rtt_med
ProphetMulti,100M,FIFO,GRTR,100,FIFO,100000.0,3356.0,118783.0,118731.0,51.0,103306.0,0.0,2444.0,0.7282,0.0,47.5806,9135.5258,7600.0,2.1858,2.0,11657.9818,10751.0,,
ProphetMulti,100M,LEPR,GRTR,100,LEPR,100000.0,3356.0,128772.0,128716.0,55.0,113960.0,0.0,1943.0,0.579,0.0,65.246,9419.823,7498.0,2.0427,2.0,8004.754,0.0,,
ProphetMulti,100M,MOFO,GRTR,100,MOFO,100000.0,3356.0,130150.0,130096.0,53.0,116681.0,0.0,1407.0,0.4192,0.0,91.4634,10589.2466,7687.0,1.9275,2.0,3603.5443,0.0,,
ProphetMulti,100M,MOPR,GRTR,100,MOPR,100000.0,3356.0,131274.0,131218.0,55.0,116627.0,0.0,1709.0,0.5092,0.0,75.7806,10258.1398,8056.0,2.0082,2.0,5550.4776,0.0,,
ProphetMulti,100M,SHLI,GRTR,100,SHLI,100000.0,3356.0,128628.0,128572.0,55.0,112827.0,0.0,2705.0,0.806,0.0,46.5312,11128.4137,8938.0,1.9183,2.0,8587.3632,0.0,,
ProphetMulti,10M,FIFO,GRTR,10,FIFO,100000.0,3356.0,55996.0,55987.0,9.0,56291.0,0.0,1412.0,0.4207,0.0,38.6508,7292.7805,5353.0,2.9334,3.0,2471.8488,1675.0,,
ProphetMulti,10M,LEPR,GRTR,10,LEPR,100000.0,3356.0,118923.0,118875.0,48.0,119807.0,0.0,803.0,0.2393,0.0,147.0386,7334.9016,5364.0,1.9626,2.0,1077.5525,0.0,,
ProphetMulti,10M,MOFO,GRTR,10,MOFO,100000.0,3356.0,106999.0,106956.0,43.0,108139.0,0.0,533.0,0.1588,0.0,199.6679,8077.925,6593.0,1.9099,2.0,1027.7822,0.0,,
ProphetMulti,10M,MOPR,GRTR,10,MOPR,100000.0,3356.0,116743.0,116696.0,47.0,118018.0,0.0,434.0,0.1293,0.0,267.8848,7299.8963,5855.0,1.9332,2.0,707.8466,0.0,,
ProphetMulti,10M,SHLI,GRTR,10,SHLI,100000.0,3356.0,138042.0,137980.0,61.0,137697.0,0.0,2003.0,0.5968,0.0,67.8867,7544.65,7118.0,1.7983,2.0,1028.6636,0.0,,
ProphetMulti,110M,FIFO,GRTR,110,FIFO,100000.0,3356.0,119557.0,119504.0,52.0,102418.0,0.0,2463.0,0.7339,0.0,47.5197,8996.6407,7620.0,2.1535,2.0,12703.4823,11900.0,,
ProphetMulti,110M,LEPR,GRTR,110,LEPR,100000.0,3356.0,127111.0,127054.0,56.0,110651.0,0.0,1971.0,0.5873,0.0,63.4617,9438.9001,7475.0,2.0614,2.0,8578.339,0.0,,
ProphetMulti,110M,MOFO,GRTR,110,MOFO,100000.0,3356.0,129330.0,129275.0,54.0,114138.0,0.0,1493.0,0.4449,0.0,85.5874,10585.4561,7778.0,1.9504,2.0,3636.9693,0.0,,
ProphetMulti,110M,MOPR,GRTR,110,MOPR,100000.0,3356.0,129746.0,129692.0,53.0,113383.0,0.0,1787.0,0.5325,0.0,71.5753,10221.7834,7998.0,1.9726,2.0,6096.7852,0.0,,
ProphetMulti,110M,SHLI,GRTR,110,SHLI,100000.0,3356.0,127165.0,127107.0,57.0,109731.0,0.0,2696.0,0.8033,0.0,46.1465,10997.214,8849.0,1.9188,2.0,9487.9344,0.0,,
ProphetMulti,120M,FIFO,GRTR,120,FIFO,100000.0,3356.0,119976.0,119920.0,55.0,101160.0,0.0,2513.0,0.7488,0.0,46.7199,9186.0856,7740.0,2.1727,2.0,13740.2557,12996.0,,
ProphetMulti,120M,LEPR,GRTR,120,LEPR,100000.0,3356.0,128010.0,127952.0,57.0,109827.0,0.0,2067.0,0.6159,0.0,60.9023,9473.4944,7537.0,2.0755,2.0,9113.5129,0.0,,
ProphetMulti,120M,MOFO,GRTR,120,MOFO,100000.0,3356.0,130751.0,130695.0,55.0,113779.0,0.0,1631.0,0.486,0.0,79.1318,10850.6456,7951.0,1.924,2.0,3513.087,0.0,,
ProphetMulti,120M,MOPR,GRTR,120,MOPR,100000.0,3356.0,129298.0,129242.0,55.0,111188.0,0.0,1893.0,0.5641,0.0,67.2736,10220.9171,8225.0,2.018,2.0,6479.4486,0.0,,
ProphetMulti,120M,SHLI,GRTR,120,SHLI,100000.0,3356.0,127290.0,127234.0,55.0,108193.0,0.0,2722.0,0.8111,0.0,45.7428,10924.2583,8773.0,1.9482,2.0,10290.3243,0.0,,
ProphetMulti,130M,FIFO,GRTR,130,FIFO,100000.0,3356.0,120335.0,120280.0,54.0,99847.0,0.0,2535.0,0.7554,0.0,46.4477,9119.5846,7691.0,2.131,2.0,14801.4416,14038.0,,
ProphetMulti,130M,LEPR,GRTR,130,LEPR,100000.0,3356.0,127524.0,127468.0,55.0,107693.0,0.0,2095.0,0.6243,0.0,59.8439,9364.7761,7613.0,2.0496,2.0,9633.1626,0.0,,
ProphetMulti,130M,MOFO,GRTR,130,MOFO,100000.0,3356.0,129335.0,129279.0,55.0,110634.0,0.0,1720.0,0.5125,0.0,74.1622,11112.0878,8062.0,1.9151,2.0,3633.8352,0.0,,
ProphetMulti,130M,MOPR,GRTR,130,MOPR,100000.0,3356.0,127769.0,127712.0,56.0,107984.0,0.0,1949.0,0.5808,0.0,64.5269,10256.5736,8219.0,2.0103,2.0,6979.7299,0.0,,
ProphetMulti,130M,SHLI,GRTR,130,SHLI,100000.0,3356.0,125773.0,125719.0,53.0,105061.0,0.0,2698.0,0.8039,0.0,45.5971,10929.4603,8768.0,1.9537,2.0,11118.7962,0.0,,
ProphetMulti,140M,FIFO,GRTR,140,FIFO,100000.0,3356.0,120274.0,120219.0,54.0,98160.0,0.0,2563.0,0.7637,0.0,45.9056,9195.911,7761.0,2.1315,2.0,15919.6411,15360.0,,
ProphetMulti,140M,LEPR,GRTR,140,LEPR,100000.0,3356.0,126087.0,126031.0,55.0,104599.0,0.0,2125.0,0.6332,0.0,58.3087,9305.5153,7593.0,2.0612,2.0,10246.642,0.0,,
ProphetMulti,140M,MOFO,GRTR,140,MOFO,100000.0,3356.0,129440.0,129381.0,58.0,109011.0,0.0,1802.0,0.5369,0.0,70.7986,11091.0194,8219.0,1.9218,2.0,3725.3074,0.0,,
ProphetMulti,140M,MOPR,GRTR,140,MOPR,100000.0,3356.0,127745.0,127684.0,60.0,106236.0,0.0,2041.0,0.6082,0.0,61.5595,10363.4424,8212.0,1.9829,2.0,7306.0417,0.0,,
ProphetMulti,140M,SHLI,GRTR,140,SHLI,100000.0,3356.0,124635.0,124578.0,56.0,102253.0,0.0,2726.0,0.8123,0.0,44.6999,10810.3536,8709.0,1.971,2.0,11891.0809,0.0,,
ProphetMulti,150M,FIFO,GRTR,150,FIFO,100000.0,3356.0,120076.0,120022.0,53.0,96347.0,0.0,2568.0,0.7652,0.0,45.7375,9171.3263,7796.0,2.1129,2.0,17039.7559,16588.0,,
ProphetMulti,150M,LEPR,GRTR,150,LEPR,100000.0,3356.0,126377.0,126319.0,57.0,103224.0,0.0,2194.0,0.6538,0.0,56.5747,9812.5383,7796.0,2.0556,2.0,10794.8049,0.0,,
