routingAlgorithm,bufferSize,dropPolicy,forwardingStrategy,bufferSize_numeric,dropPolicy_numeric,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,rtt_avg,rtt_med
ProphetMulti,100M,FIFO,COIN,100,FIFO,100000.0,3356.0,136956.0,136895.0,60.0,121962.0,0.0,2211.0,0.6588,0.0,60.9154,8764.3125,6815.0,2.4233,2.0,10480.0261,9829.0,,
ProphetMulti,100M,LEPR,COIN,100,LEPR,100000.0,3356.0,136861.0,136799.0,61.0,122452.0,0.0,1694.0,0.5048,0.0,79.755,8272.9965,6280.0,2.2438,2.0,9067.1212,2240.0,,
ProphetMulti,100M,MOFO,COIN,100,MOFO,100000.0,3356.0,128719.0,128660.0,58.0,115621.0,0.0,1039.0,0.3096,0.0,122.8306,5043.8181,4524.0,2.8768,3.0,5461.1241,0.0,,
ProphetMulti,100M,MOPR,COIN,100,MOPR,100000.0,3356.0,131216.0,131156.0,59.0,116970.0,0.0,1303.0,0.3883,0.0,99.6569,6090.1888,5350.0,2.8189,3.0,5672.8511,0.0,,
ProphetMulti,100M,SHLI,COIN,100,SHLI,100000.0,3356.0,139320.0,139261.0,58.0,123309.0,0.0,2917.0,0.8692,0.0,46.7412,9307.6503,8122.0,2.3997,2.0,10208.7241,8756.0,,
ProphetMulti,10M,FIFO,COIN,10,FIFO,100000.0,3356.0,93628.0,93595.0,33.0,94244.0,0.0,1069.0,0.3185,0.0,86.5538,5641.927,4350.0,5.3293,4.0,1467.6224,921.0,,
ProphetMulti,10M,LEPR,COIN,10,LEPR,100000.0,3356.0,136455.0,136387.0,67.0,137506.0,0.0,599.0,0.1785,0.0,226.6912,5477.005,4095.0,2.1987,2.0,977.68,0.0,,
ProphetMulti,10M,MOFO,COIN,10,MOFO,100000.0,3356.0,78003.0,77967.0,36.0,79399.0,0.0,284.0,0.0846,0.0,273.5317,3960.8556,3536.0,2.6373,2.0,1467.699,12.0,,
ProphetMulti,10M,MOPR,COIN,10,MOPR,100000.0,3356.0,74896.0,74852.0,44.0,76371.0,0.0,236.0,0.0703,0.0,316.1695,3677.6314,2942.0,2.3983,2.0,917.9417,0.0,,
ProphetMulti,10M,SHLI,COIN,10,SHLI,100000.0,3356.0,134481.0,134426.0,54.0,134219.0,0.0,1925.0,0.5736,0.0,68.8317,4152.7616,3974.0,2.5319,2.0,1120.0057,0.0,,
ProphetMulti,110M,FIFO,COIN,110,FIFO,100000.0,3356.0,136575.0,136514.0,60.0,119925.0,0.0,2303.0,0.6862,0.0,58.2766,9133.7099,7034.0,2.3904,2.0,11561.5084,11052.0,,
ProphetMulti,110M,LEPR,COIN,110,LEPR,100000.0,3356.0,137073.0,137009.0,63.0,120920.0,0.0,1753.0,0.5223,0.0,77.1569,8406.3292,6369.0,2.2932,2.0,9801.4544,2606.0,,
ProphetMulti,110M,MOFO,COIN,110,MOFO,100000.0,3356.0,129713.0,129656.0,56.0,114883.0,0.0,1132.0,0.3373,0.0,113.5371,5072.4461,4552.0,2.9011,3.0,5910.6338,0.0,,
ProphetMulti,110M,MOPR,COIN,110,MOPR,100000.0,3356.0,133100.0,133043.0,57.0,117127.0,0.0,1393.0,0.4151,0.0,94.5083,6105.5714,5272.0,2.7574,3.0,6135.3619,0.0,,
ProphetMulti,110M,SHLI,COIN,110,SHLI,100000.0,3356.0,139489.0,139426.0,62.0,121820.0,0.0,2928.0,0.8725,0.0,46.6182,9295.4898,8060.0,2.3921,2.0,11163.1414,10081.0,,
ProphetMulti,120M,FIFO,COIN,120,FIFO,100000.0,3356.0,136573.0,136508.0,64.0,118322.0,0.0,2341.0,0.6976,0.0,57.3118,9282.7796,7506.0,2.3148,2.0,12570.0141,12150.0,,
ProphetMulti,120M,LEPR,COIN,120,LEPR,100000.0,3356.0,136810.0,136748.0,61.0,119025.0,0.0,1814.0,0.5405,0.0,74.3848,8345.618,6351.0,2.2602,2.0,10593.0617,3250.0,,
ProphetMulti,120M,MOFO,COIN,120,MOFO,100000.0,3356.0,130814.0,130751.0,62.0,114247.0,0.0,1225.0,0.365,0.0,105.7355,5228.7551,4653.0,2.8376,3.0,6361.5455,0.0,,
