routingAlgorithm,bufferSize,dropPolicy,forwardingStrategy,bufferSize_numeric,dropPolicy_numeric,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,rtt_avg,rtt_med
ProphetMulti,100M,FIFO,GRTRSort,100,FIFO,100000.0,3356.0,102803.0,102755.0,47.0,0.0,0.0,3013.0,0.8978,0.0,33.1039,8626.6538,7861.0,2.2446,2.0,,,,
ProphetMulti,100M,LEPR,GRTRSort,100,LEPR,100000.0,3356.0,102888.0,102842.0,45.0,0.0,0.0,3012.0,0.8975,0.0,33.1441,8627.2324,7887.0,2.2447,2.0,,,,
ProphetMulti,100M,MOFO,GRTRSort,100,MOFO,100000.0,3356.0,103080.0,103032.0,47.0,0.0,0.0,3015.0,0.8984,0.0,33.1731,8611.6866,7855.0,2.2491,2.0,,,,
ProphetMulti,100M,MOPR,GRTRSort,100,MOPR,100000.0,3356.0,103016.0,102968.0,47.0,0.0,0.0,3009.0,0.8966,0.0,33.22,8599.2237,7879.0,2.2436,2.0,,,,
ProphetMulti,100M,SHLI,GRTRSort,100,SHLI,100000.0,3356.0,102940.0,102892.0,47.0,0.0,0.0,3009.0,0.8966,0.0,33.1947,8583.7268,7861.0,2.2463,2.0,,,,
ProphetMulti,10M,FIFO,GRTRSort,10,FIFO,100000.0,3356.0,109734.0,109683.0,50.0,29081.0,0.0,2898.0,0.8635,0.0,36.8478,8714.912,7836.0,2.1805,2.0,60863.8987,64270.0,,
ProphetMulti,10M,LEPR,GRTRSort,10,LEPR,100000.0,3356.0,111756.0,111704.0,51.0,31267.0,0.0,2884.0,0.8594,0.0,37.7323,8563.5059,7749.0,2.2115,2.0,28035.8121,23786.0,,
ProphetMulti,10M,MOFO,GRTRSort,10,MOFO,100000.0,3356.0,112318.0,112266.0,51.0,32204.0,0.0,2822.0,0.8409,0.0,38.7824,8719.3519,7791.0,2.1651,2.0,7041.7544,0.0,,
ProphetMulti,10M,MOPR,GRTRSort,10,MOPR,100000.0,3356.0,105917.0,105869.0,47.0,24636.0,0.0,2832.0,0.8439,0.0,36.3831,8741.5406,7779.0,2.1596,2.0,13306.5294,0.0,,
ProphetMulti,10M,SHLI,GRTRSort,10,SHLI,100000.0,3356.0,105793.0,105745.0,47.0,24255.0,0.0,2849.0,0.8489,0.0,36.1165,8716.2833,7781.0,2.1583,2.0,18884.3933,0.0,,
